timestamp,date,request_rate_per_sec,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,error_rate_per_sec,error_percentage,active_requests,total_requests,artist_service_requests,album_service_requests,recommendation_service_requests,api_gateway_requests
2025-11-30 23:08:24,2025-11-30,5.911664259738292,0,0,95.0,0,0,0,0,0,1.4223328532032227,1.5112622375214575,1.4667985328850695,0
2025-11-30 23:09:24,2025-11-30,5.911587694895235,0,0,95.0,0,0,0,0,0,0,1.5112454444126835,1.4667649452186209,0
2025-11-30 23:10:24,2025-11-30,0,0,0,0,99.0,0,0,0,0,1.4223802644738304,0,0,0
2025-11-30 23:11:24,2025-11-30,5.911760072875278,0,0,0,99.0,0,0,0,19563,1.4223881676401664,1.511287428117677,0,1.511270635008903
2025-11-30 23:12:24,2025-11-30,0,0,50.0,0,0,0,0,0,19915,1.4223644588437248,0,1.4667975436062408,0
2025-11-30 23:13:24,2025-11-30,0,0,50.0,95.00000000000001,99.0,0,0,0,0,1.4223644588437248,1.5112454444126835,0,1.5112286516770979
2025-11-30 23:14:25,2025-11-30,5.911646470918598,0,50.0,0,99.0,0,0,0,0,1.422348653213619,1.5112706342624511,1.4667817390298439,0
