timestamp,date,request_rate_per_sec,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,error_rate_per_sec,error_percentage,active_requests,total_requests,artist_service_requests,album_service_requests,recommendation_service_requests,api_gateway_requests
2025-11-20 6:59,2025-11-20,5.866877543079032,0,50,95.00000000000001,99.00000000000001,0,0,0,12976,1.4445002502608928,1.4667160519507645,1.5111614840934278,1.4444997567739473
2025-11-20 7:00,2025-11-20,5.867082011032385,0,50,1000,99,0,0,0,13328,1.444548156445176,1.4667733430792547,1.5112202571753348,1.4445402543326191
2025-11-20 7:01,2025-11-20,5.866968911189958,0,50,,99,0,0,0,13680,1.444516548697374,1.4667407453501278,1.511195068445083,1.4445165486973737
2025-11-20 7:02,2025-11-20,5.866992120418682,0,50,,,0,0,0,14032,1.444532352571275,1.466748647111472,1.5111950669523537,1.4223170440609185
2025-11-20 7:03,2025-11-20,5.845224070592112,0,50,95,98.99999999999999,0,0,0,14389,1.444548650327211,1.4667817390738465,1.5112286520503113,1.4226650291407426
2025-11-20 7:04,2025-11-20,5.844971408,0,50,95,99,0,0,0,14741,1.4445723573673543,1.466797542903745,1.511237048044903,1.4223644595462674
2025-11-20 7:05,2025-11-20,5.844874601978189,0,50,,99,0,0,0,15093,1.444540747512158,1.466780749794971,1.5112202556825312,1.4223328489885285
2025-11-20 7:06,2025-11-20,5.8450529066964485,0,,95,,0,0,0,15445,1.4445886572527302,1.466813842,1.511262238267909,1.422388168694039
2025-11-20 7:07,2025-11-20,5.844744714273631,0,,95,,0,0,0,15797,1.4445076585352914,1.4667491413447196,1.5111866724504912,1.4223012419431282
2025-11-20 7:08,2025-11-20,5.844834103300098,0,,95,99,0,0,0,16149,1.4445402536301233,1.4667570438524657,1.5112118589415375,1.4223249468759713
2025-11-20 7:09,2025-11-20,5.845230995430839,0,50,95,,0,0,0,16501,1.4445649484562886,1.4667812440721717,1.5112118596879394,1.4226729432144394
2025-11-20 7:10,2025-11-20,6.089247927,0,,95,99,0,0,0,16864,1.4889802537729067,1.4667323497286997,1.5556414867932356,1.5778938362147281
2025-11-20 7:11,2025-11-20,6.000442022624766,0,50,95,99,0,0,0,17232,1.4889797591225176,1.466824224499674,1.5334182768727946,1.5112197621297787
