Date,Timestamp,Total_Violations,Total_Lines,Total_Files,Defect_Density,Avg_Complexity,Max_Complexity,E_Errors,W_Warnings,F_Errors
2025-11-16,2025-11-16_19-10-10,1827,3064,9,596.28,20.4,55,240,193,16
2025-11-17,2025-11-17_22-55-56,1827,3064,9,596.28,20.4,55,240,193,16
2025-11-18,2025-11-18_22-06-37,1827,3064,9,596.28,20.4,55,240,193,16
2025-11-19,2025-11-19_22-40-14,1827,3064,9,596.28,20.40,55,240,193,16
2025-11-30,2025-11-30_23-36-11,1838,3076,9,597.53,20.40,55,237,193,16
2025-12-01,2025-12-01_23-31-14,1838,3076,9,597.53,20.40,55,237,193,16
2025-12-03,2025-12-03_01-24-41,4610,3076,9,1498.70,20.40,55,624,549,33
2025-12-03,2025-12-03_02-11-33,1363,3076,9,443.11,20.40,55,593,529,20
